longitude,latitude,Number_of_Vehicles,Number_of_Casualties,Time,Speed_limit,Accident_Severity
66.5,173.0,30.7,38.9,8.29,142.6,3.0
114.8,22.7,49.3,9.3,8.79,188.9,1.0
5.6,11.3,17.6,89.3,19.75,43.4,3.0
44.6,57.4,4.4,3.8,17.79,11.5,4.0
73.7,31.7,5.2,85.1,3.14,70.8,4.0
100.9,115.9,36.9,41.0,6.09,114.2,2.0
126.2,160.7,34.6,72.7,20.69,65.9,4.0
49.3,53.4,3.3,1.6,1.53,181.9,3.0
81.8,55.1,46.3,75.2,4.81,34.0,1.0
108.3,45.4,37.6,64.9,11.56,81.9,1.0
86.6,189.4,17.9,62.8,4.09,10.9,2.0
64.0,64.0,11.5,90.9,22.60,107.8,3.0
77.2,89.3,11.1,45.1,13.51,154.8,3.0
87.6,41.2,14.6,45.5,11.99,143.6,4.0
100.3,129.4,11.7,96.3,17.84,95.6,3.0
83.3,81.3,5.5,81.9,1.09,94.5,1.0
32.1,51.5,39.9,64.6,2.82,133.8,4.0
77.1,46.7,30.0,52.9,4.80,8.1,1.0
73.1,82.0,41.7,59.6,8.37,180.4,4.0
24.4,27.8,47.6,96.9,15.24,121.3,2.0
61.2,66.2,24.3,15.2,16.50,173.9,1.0
87.1,112.1,11.8,6.8,22.37,91.5,1.0
53.7,119.1,16.8,2.2,11.08,172.5,1.0
53.2,148.8,35.5,21.5,7.98,119.6,3.0
107.4,18.7,15.9,33.7,7.84,90.1,3.0
44.5,46.9,40.2,60.0,9.59,25.6,2.0
122.3,112.0,27.6,51.6,20.50,150.7,1.0
92.3,183.6,18.9,46.8,14.53,43.7,3.0
26.6,164.1,38.3,51.0,9.78,148.7,3.0
45.0,172.7,22.5,21.2,1.74,138.2,2.0
64.6,173.2,27.2,80.1,17.73,109.8,4.0
2.4,124.0,20.2,37.9,4.64,124.2,3.0
83.0,121.7,20.1,1.7,19.83,28.7,2.0
125.3,149.5,12.8,76.6,10.73,102.8,1.0
37.1,122.5,35.8,35.5,12.08,113.1,2.0
114.5,136.9,44.5,45.8,7.83,62.2,4.0
66.8,187.7,26.7,22.8,18.21,5.2,2.0
122.4,163.4,8.7,10.0,14.85,39.5,3.0
120.7,69.4,37.4,76.8,9.21,184.3,4.0
125.1,38.5,25.9,80.3,9.58,110.8,1.0
62.7,147.4,7.0,30.7,4.13,109.8,4.0
87.8,137.3,47.3,2.5,9.56,11.3,2.0
11.2,156.1,26.2,79.5,9.29,147.4,1.0
62.0,105.1,14.8,45.9,20.54,76.4,1.0
30.1,156.2,31.7,56.0,4.70,191.0,2.0
43.1,185.8,47.5,97.1,22.73,95.2,4.0
111.3,160.6,34.2,26.5,9.21,103.6,2.0
8.9,99.1,31.8,88.8,12.91,63.8,3.0
98.0,100.1,10.9,65.3,5.21,170.5,4.0
63.5,171.0,34.0,65.4,17.19,30.3,2.0
85.1,57.7,10.5,29.3,18.35,67.3,3.0
61.5,131.7,7.5,77.4,16.07,176.5,4.0
117.8,185.8,13.0,89.2,18.07,72.7,3.0
78.5,121.1,4.2,19.4,10.13,188.8,1.0
78.6,144.6,46.7,40.0,22.83,62.6,3.0
56.6,27.4,11.3,37.8,0.47,54.3,1.0
104.0,182.7,36.4,46.5,0.10,42.6,1.0
31.9,41.7,40.1,56.2,9.03,60.7,4.0
79.7,15.4,41.0,70.1,23.06,146.7,2.0
115.0,162.5,16.0,12.6,16.54,5.1,4.0
120.6,27.1,6.8,86.0,0.76,122.2,1.0
79.6,180.1,28.1,80.8,16.49,62.8,1.0
71.6,126.7,3.7,90.4,10.14,42.0,1.0
66.1,61.0,30.8,34.9,23.22,73.2,3.0
2.1,49.7,43.2,45.8,19.19,178.2,4.0
31.9,44.4,34.0,33.9,14.51,93.5,3.0
52.5,124.8,7.4,48.0,10.66,17.6,1.0
116.5,173.5,45.3,36.0,22.75,55.3,2.0
5.4,139.8,48.2,70.4,13.85,70.7,2.0
90.8,174.6,22.2,75.7,17.50,87.9,3.0
91.5,22.7,24.5,16.9,23.08,128.4,3.0
49.5,137.8,14.0,34.3,13.71,41.7,3.0
63.8,140.8,24.5,69.7,20.26,142.2,1.0
53.5,130.6,17.9,8.1,9.26,80.1,4.0
103.5,42.8,28.0,100.3,5.30,177.1,4.0
96.8,79.5,28.9,73.6,1.06,148.3,1.0
25.7,11.9,13.3,17.2,9.36,46.4,1.0
27.0,97.4,16.5,93.8,13.09,66.6,3.0
101.5,13.6,35.2,40.6,16.96,197.6,2.0
75.9,176.7,25.2,99.3,18.32,21.9,1.0
18.3,120.4,4.0,63.5,9.21,80.2,4.0
82.6,106.1,3.7,91.5,6.17,81.4,2.0
122.0,115.8,6.6,77.4,9.15,34.3,3.0
48.1,78.7,22.9,38.1,21.69,50.5,4.0
25.0,99.1,22.0,70.1,1.86,24.6,1.0
17.1,178.1,34.0,4.1,19.25,85.9,4.0
6.4,75.3,9.7,65.3,18.41,21.3,2.0
84.0,88.5,35.9,9.9,4.23,186.4,3.0
20.7,24.8,32.1,47.3,23.96,182.4,1.0
13.3,26.4,28.4,38.8,12.93,111.6,2.0
50.7,155.4,15.1,17.3,8.24,76.5,4.0
56.3,112.8,10.7,82.2,2.39,51.4,2.0
64.9,43.9,48.6,3.3,5.06,11.1,1.0
71.5,87.4,49.5,58.3,20.27,179.2,3.0
26.3,140.7,33.8,64.0,10.92,21.7,3.0
81.8,19.2,26.8,61.5,19.28,7.1,4.0
52.7,94.1,6.4,12.8,13.71,17.1,4.0
44.7,24.0,4.2,21.0,16.63,12.7,4.0
21.9,15.3,32.1,99.8,20.90,20.6,3.0
96.8,148.3,44.1,83.1,6.59,191.8,3.0
95.6,46.3,35.9,31.3,8.76,26.3,3.0
73.0,125.5,3.9,41.8,16.44,146.3,2.0
126.1,155.4,11.8,81.2,8.21,155.3,4.0
95.6,51.4,20.3,79.1,23.75,116.8,1.0
109.2,76.2,2.6,84.6,15.66,109.4,2.0
6.4,169.1,43.3,84.4,21.26,132.5,1.0
6.4,146.9,41.4,72.0,18.78,114.6,4.0
5.0,176.2,13.3,39.5,11.62,101.3,4.0
60.4,136.2,48.2,17.9,7.05,154.6,4.0
97.6,43.5,45.9,24.7,21.24,117.7,1.0
87.9,66.9,16.0,6.5,5.53,186.4,2.0
126.9,158.1,42.8,38.0,8.01,23.8,4.0
106.6,19.1,16.9,64.7,11.43,196.8,2.0
40.0,134.1,29.3,59.9,5.30,55.8,3.0
98.9,27.4,16.5,78.5,16.95,127.3,1.0
26.5,56.1,37.9,8.0,9.94,81.2,1.0
30.5,149.5,8.7,56.2,10.99,154.3,2.0
70.0,88.3,15.9,9.7,19.66,97.5,1.0
83.7,16.8,30.1,10.2,1.15,190.2,2.0
45.5,121.8,38.6,42.0,8.63,28.9,2.0
55.9,92.6,4.4,35.3,22.63,63.8,1.0
79.2,33.7,19.4,37.7,21.32,154.0,2.0
106.4,101.1,40.9,68.4,8.06,151.7,3.0
101.9,108.1,7.6,97.9,13.31,183.3,4.0
106.0,144.6,2.4,32.6,17.92,30.4,1.0
15.8,12.8,31.5,52.8,11.59,164.2,3.0
10.1,42.7,24.8,88.9,20.92,187.5,4.0
47.3,49.7,48.9,32.2,22.93,119.5,2.0
71.2,83.8,8.2,26.6,21.14,18.4,2.0
99.6,93.3,33.1,35.6,23.27,26.0,3.0
102.8,72.0,2.3,29.1,9.65,133.6,1.0
14.3,102.8,45.3,30.7,14.82,107.8,1.0
56.7,172.6,8.7,47.0,5.87,81.8,1.0
81.5,56.5,18.3,74.6,6.12,193.5,2.0
19.8,175.2,3.8,69.9,21.56,136.7,4.0
14.6,180.2,9.0,19.5,3.32,16.3,1.0
74.4,101.1,23.5,38.8,8.87,102.3,3.0
78.8,22.2,42.7,82.6,16.58,158.7,4.0
27.4,171.7,28.5,30.1,7.22,83.0,1.0
62.2,124.7,31.0,91.7,14.79,32.1,4.0
16.4,84.2,28.5,65.9,19.90,133.2,3.0
115.0,94.8,41.0,65.6,5.94,29.6,2.0
118.2,125.5,6.7,47.6,14.39,14.1,2.0
100.4,128.2,49.5,24.3,9.79,106.3,4.0
1.7,73.6,11.4,59.2,14.94,170.9,4.0
56.8,104.4,39.3,25.1,18.55,43.1,1.0
67.8,166.5,9.7,48.5,17.36,34.3,3.0
66.2,75.2,46.1,24.7,18.68,114.1,1.0
28.6,94.9,43.7,38.1,3.66,192.3,3.0
47.3,94.1,4.4,41.2,15.11,6.4,2.0
109.2,160.4,26.2,85.9,11.56,160.0,2.0
60.4,57.1,15.6,12.1,18.54,52.4,1.0
41.3,35.8,24.7,24.2,21.27,104.6,4.0
38.2,181.9,12.1,58.6,3.54,91.8,1.0
17.3,31.8,14.3,70.2,18.62,15.1,3.0
47.8,116.0,6.5,78.9,8.03,39.3,2.0
77.7,43.4,5.2,72.1,15.90,83.0,4.0
54.0,57.7,33.6,6.1,22.75,109.4,3.0
127.7,38.3,26.6,36.0,8.50,173.2,1.0
30.3,160.2,41.2,39.8,15.68,177.2,4.0
3.7,154.5,16.7,35.9,6.16,145.6,3.0
28.1,91.2,24.7,61.3,15.56,161.5,3.0
71.7,188.9,44.5,33.2,23.99,20.8,1.0
77.2,11.3,7.2,74.1,7.00,63.1,4.0
53.1,64.2,25.6,78.1,22.92,136.9,4.0
105.9,156.9,2.2,86.4,10.70,190.4,1.0
79.9,83.8,34.9,89.3,13.61,109.2,3.0
111.5,63.3,8.1,43.7,4.17,99.4,4.0
49.8,169.9,6.4,98.5,20.87,29.8,1.0
45.7,185.9,49.2,82.8,12.37,169.1,1.0
91.8,185.8,42.3,24.1,17.30,134.9,2.0
106.1,56.1,36.4,65.1,20.95,61.0,4.0
33.8,96.9,22.9,83.3,1.03,176.9,1.0
117.2,48.3,47.3,68.1,19.99,76.3,1.0
91.4,145.1,36.1,2.6,10.14,108.2,3.0
73.7,70.6,9.4,37.4,0.95,83.7,3.0
70.8,152.5,6.2,95.2,2.98,134.7,1.0
76.2,113.5,6.3,91.8,17.75,122.1,4.0
109.5,105.7,29.5,32.9,0.99,70.4,3.0
87.9,10.2,9.9,82.5,16.22,82.9,4.0
117.4,88.7,6.7,94.9,12.42,185.4,1.0
103.9,162.1,13.6,83.5,12.35,176.2,4.0
96.5,17.1,18.7,57.3,1.04,39.8,3.0
11.4,150.7,36.0,85.8,10.30,84.6,3.0
51.1,169.0,27.1,30.1,21.19,10.9,4.0
24.1,161.2,35.2,96.3,3.27,35.7,1.0
101.9,156.2,37.0,11.7,19.66,20.6,2.0
12.5,108.5,40.1,55.3,16.30,9.5,1.0
55.1,49.2,19.8,48.0,22.26,75.2,2.0
99.2,12.1,12.6,35.6,8.09,192.7,4.0
76.6,26.0,16.2,57.8,22.34,196.3,1.0
105.1,135.0,22.1,40.0,16.71,98.2,4.0
48.0,56.2,17.0,59.8,20.13,142.1,1.0
81.4,85.6,23.6,16.0,23.78,118.9,1.0
85.3,31.4,24.9,74.1,14.46,17.0,2.0
76.7,157.9,36.9,21.0,13.02,68.5,4.0
79.7,128.1,41.2,33.5,0.74,157.0,3.0
59.4,144.9,47.5,15.7,16.38,158.2,3.0
14.2,102.7,42.2,57.6,14.00,74.2,2.0
90.8,164.3,42.1,56.6,13.96,162.6,3.0
31.9,69.0,31.1,46.6,17.79,149.0,3.0
116.5,83.6,5.3,20.4,8.87,196.9,1.0
7.4,95.3,29.4,100.0,8.76,183.0,4.0
21.1,145.0,1.6,74.6,9.02,50.0,3.0
78.4,147.5,46.8,84.0,19.81,14.3,1.0
96.5,152.3,11.0,16.7,20.57,23.9,3.0
90.0,41.0,45.6,29.4,8.75,172.1,1.0
26.6,125.5,30.9,36.4,9.05,131.9,3.0
10.2,176.7,8.0,97.3,17.74,94.8,4.0
13.1,141.3,40.1,20.7,18.35,63.2,4.0
47.7,116.3,15.4,86.6,15.63,81.7,4.0
79.9,13.7,41.2,37.2,9.98,168.8,4.0
110.4,40.6,33.3,83.4,4.67,68.2,4.0
78.6,40.3,41.1,34.5,2.09,191.2,2.0
50.2,112.3,46.4,56.7,21.87,129.9,1.0
92.6,50.4,37.2,89.6,23.13,80.5,1.0
100.3,69.8,21.0,31.4,19.78,133.3,2.0
32.9,106.4,40.1,54.6,7.05,183.3,3.0
26.0,175.4,28.8,76.8,12.99,93.0,4.0
76.5,53.3,2.8,41.8,14.89,89.6,3.0
126.1,184.9,45.5,60.7,20.98,76.2,2.0
60.1,17.0,49.8,59.5,14.69,96.1,4.0
76.0,105.1,12.0,79.5,9.73,140.9,3.0
39.3,154.9,28.1,6.4,9.37,154.3,2.0
91.4,34.6,3.6,84.3,14.98,40.7,2.0
70.5,117.6,30.5,3.1,2.60,93.9,2.0
35.4,165.4,41.6,3.7,13.21,123.5,2.0
76.1,190.0,24.7,63.5,21.49,41.4,4.0
104.6,170.0,14.0,20.7,15.45,49.7,1.0
46.3,141.6,32.0,53.5,21.57,23.0,4.0
1.8,16.2,30.9,3.9,2.63,65.2,4.0
101.9,179.1,42.8,32.6,10.13,198.4,1.0
108.7,13.4,1.8,21.3,20.92,186.4,1.0
85.7,149.2,22.9,35.7,22.11,144.3,2.0
60.6,74.9,16.9,97.9,1.09,111.1,4.0
35.9,135.6,33.2,58.2,22.06,10.3,4.0
20.8,13.4,23.8,93.0,13.32,14.0,3.0
110.4,27.2,32.4,27.2,13.73,41.1,2.0
7.1,51.9,4.7,88.3,7.87,128.0,2.0
114.6,92.8,43.6,31.5,18.07,116.7,2.0
106.2,78.6,25.8,5.5,2.24,19.7,2.0
44.6,79.7,23.2,58.1,8.71,129.8,4.0
123.9,166.4,38.6,22.7,0.62,60.3,4.0
110.8,165.1,49.4,86.3,22.74,128.5,2.0
41.3,106.1,12.9,90.5,20.36,64.5,1.0
45.1,64.4,30.3,82.3,8.47,24.6,3.0
79.5,80.9,28.8,66.0,14.79,38.8,1.0
119.4,128.1,11.7,1.1,14.48,44.2,3.0
70.1,81.5,3.8,88.0,20.32,172.9,3.0
47.4,131.6,37.3,21.8,23.41,43.8,3.0
21.4,90.4,11.4,32.8,0.69,124.7,1.0
111.1,96.5,6.1,4.0,13.96,191.9,2.0
73.6,133.6,29.6,81.9,5.59,47.5,1.0
55.2,81.2,33.4,81.3,17.57,67.8,2.0
23.4,28.9,36.9,10.4,6.51,151.4,3.0
108.0,43.2,41.7,66.8,13.66,43.2,2.0
53.9,80.4,26.8,79.5,1.65,168.3,4.0
124.2,73.4,31.5,6.3,11.82,170.5,2.0
95.1,104.5,10.3,22.5,23.87,7.5,2.0
106.6,38.1,25.6,44.4,16.35,178.6,2.0
108.4,181.7,34.6,30.6,0.74,45.9,4.0
27.5,179.1,46.2,70.1,4.86,136.6,4.0
23.8,182.6,8.5,25.9,3.64,144.9,3.0
56.4,96.8,23.8,90.6,19.05,139.3,3.0
45.0,161.2,45.1,56.6,10.24,74.4,2.0
119.9,125.0,7.3,6.7,4.06,80.7,1.0
86.8,54.0,12.8,92.8,4.00,196.9,4.0
26.8,144.5,22.3,28.9,7.31,82.2,1.0
97.8,136.8,44.7,80.5,17.06,199.1,4.0
52.8,187.0,28.8,90.7,22.71,175.1,4.0
121.7,188.6,25.9,2.9,3.42,143.9,3.0
79.7,103.5,8.8,51.8,14.82,112.4,3.0
115.9,96.8,5.7,4.2,12.44,89.2,3.0
126.4,21.0,27.3,31.9,5.05,71.3,1.0
51.8,164.7,12.6,61.0,1.69,39.2,3.0
36.1,98.3,49.3,52.1,1.55,131.7,3.0
32.9,172.6,11.0,47.7,4.04,8.9,1.0
111.1,63.9,30.4,76.0,14.68,142.9,3.0
120.2,40.8,35.6,75.5,21.11,167.1,4.0
29.7,77.5,40.3,86.2,14.19,20.6,4.0
23.5,11.9,31.3,98.1,12.13,152.1,1.0
57.0,87.5,32.3,78.5,9.02,56.7,3.0
86.6,96.7,11.5,37.4,5.54,11.7,4.0
1.4,99.6,9.6,53.5,19.35,102.2,2.0
16.4,132.1,18.2,89.5,5.78,79.8,1.0
67.9,121.4,2.5,16.2,18.86,8.6,2.0
126.5,63.8,17.7,27.9,9.77,196.9,4.0
89.7,33.2,26.9,75.8,10.09,125.8,3.0
83.0,167.4,24.1,32.5,9.38,30.0,4.0
124.1,19.8,48.2,43.1,19.97,46.1,2.0
21.6,39.5,17.1,3.5,19.11,50.5,4.0
5.7,34.7,30.6,23.9,2.28,28.7,3.0
58.0,70.7,24.1,35.3,0.24,79.5,1.0
37.2,173.3,15.2,77.0,12.25,112.2,4.0
115.9,147.2,42.6,85.3,16.95,61.2,3.0
101.6,105.5,4.2,49.9,13.91,122.6,1.0
26.7,112.6,35.8,52.7,5.78,115.6,1.0
116.5,112.8,35.4,46.9,13.46,124.1,4.0
39.5,158.8,34.7,21.5,6.27,137.0,2.0
77.6,119.6,38.8,77.1,20.66,191.9,4.0
74.7,144.4,31.2,89.5,12.82,11.0,4.0
38.8,42.4,28.2,28.0,15.82,65.1,4.0
15.8,157.8,16.5,47.1,12.03,101.9,4.0
112.5,14.4,28.3,69.7,2.11,69.4,2.0
21.0,18.1,46.0,91.7,3.50,28.7,4.0
77.2,156.4,20.0,24.8,19.12,79.8,3.0
102.4,163.8,3.2,15.9,17.27,138.8,4.0
37.9,183.0,5.2,98.2,0.90,47.1,1.0
122.3,147.1,11.5,61.6,12.22,17.4,2.0
108.8,106.0,2.0,96.5,5.52,15.5,4.0
72.7,48.1,20.9,44.2,15.48,90.2,3.0
16.1,135.3,46.8,95.8,5.18,104.7,3.0
20.9,151.9,40.4,88.2,7.02,148.0,4.0
31.5,156.0,41.3,40.2,7.26,173.6,1.0
61.8,61.9,14.1,93.9,17.06,32.4,2.0
41.9,29.6,41.2,67.3,3.05,179.2,1.0
107.9,79.8,30.1,100.0,18.47,159.2,4.0
98.9,50.4,49.5,13.9,22.85,146.4,2.0
76.1,11.2,45.8,42.8,12.80,116.5,3.0
52.0,52.5,22.8,4.9,14.88,92.5,4.0
78.1,81.8,41.1,48.5,19.68,16.9,1.0
101.0,43.1,37.8,29.8,10.61,129.3,1.0
73.9,182.3,3.6,97.6,2.79,12.9,2.0
7.1,122.1,24.3,11.2,19.30,188.6,2.0
93.6,141.4,31.2,36.2,10.78,45.7,1.0
65.5,23.3,15.6,18.8,1.29,193.0,4.0
41.3,157.6,4.9,33.6,1.77,112.6,4.0
113.9,93.1,29.7,20.7,10.46,142.8,2.0
94.5,10.3,25.1,18.5,10.87,39.9,4.0
124.9,130.0,22.2,89.3,14.14,123.7,4.0
29.0,14.4,13.5,40.9,3.28,38.3,1.0
6.1,36.4,47.6,33.5,0.31,166.3,3.0
17.5,160.7,13.6,43.0,3.62,96.7,1.0
35.6,132.0,28.6,88.3,21.64,96.6,3.0
117.2,103.6,47.3,57.3,17.13,198.9,4.0
13.4,25.7,26.2,70.1,19.57,88.1,4.0
71.5,135.0,41.8,84.3,2.69,11.8,1.0
122.6,149.1,49.0,57.3,8.96,49.8,2.0
32.6,108.5,37.3,46.7,7.01,81.3,1.0
3.4,20.1,32.2,76.7,19.88,149.5,1.0
106.7,94.2,3.8,91.9,14.30,49.3,3.0
9.0,137.8,30.6,0.0,5.93,99.0,2.0
56.0,59.4,3.5,70.3,23.14,197.0,2.0
4.7,97.1,1.8,34.6,14.55,79.9,2.0
81.7,152.0,6.6,1.2,17.06,187.9,2.0
48.2,33.6,45.2,81.1,4.07,20.2,4.0
112.7,64.4,25.5,9.5,21.07,38.2,2.0
71.5,61.3,49.4,10.9,18.76,61.8,4.0
103.2,98.3,44.2,93.2,16.96,89.4,2.0
107.7,46.9,46.1,13.7,3.64,172.7,3.0
110.7,151.1,24.7,76.5,18.00,35.0,2.0
12.0,85.3,39.3,9.6,18.16,40.5,2.0
125.8,37.0,20.1,61.9,17.34,166.0,1.0
19.6,22.2,23.9,23.9,1.63,154.1,2.0
36.9,50.9,14.2,9.1,0.96,197.1,1.0
127.1,98.0,7.0,6.4,4.48,192.9,3.0
82.1,43.5,11.7,75.9,18.06,194.9,2.0
23.4,184.5,22.2,39.5,14.58,98.8,1.0
27.6,21.9,39.7,38.1,23.55,186.1,2.0
91.7,181.9,26.8,21.0,17.34,113.5,1.0
84.2,61.8,37.1,94.0,23.17,17.7,1.0
81.7,75.2,17.5,64.2,11.54,9.4,3.0
85.3,138.7,9.0,0.3,8.39,6.9,2.0
49.0,141.9,37.7,73.7,1.84,30.3,2.0
112.4,114.7,30.6,74.8,1.46,108.0,2.0
21.9,27.5,40.8,0.2,5.28,17.6,1.0
118.5,142.5,28.4,90.4,0.04,123.4,3.0
5.1,68.7,40.4,28.4,2.05,71.6,3.0
112.5,84.4,28.5,26.5,12.10,175.2,2.0
28.3,162.5,2.1,38.6,7.05,147.8,1.0
33.6,110.3,40.7,11.0,11.64,13.6,3.0
66.3,174.5,13.0,53.2,8.36,158.5,4.0
88.3,102.3,15.9,9.0,13.56,153.4,3.0
13.7,110.3,32.6,13.0,15.12,58.3,3.0
44.1,11.8,46.7,54.1,12.35,119.3,4.0
58.3,110.4,25.3,60.7,0.48,61.5,3.0
65.8,171.7,47.5,88.2,11.01,129.6,3.0
67.0,152.3,20.1,76.3,3.78,167.9,3.0
69.2,23.3,12.0,66.7,21.54,72.2,3.0
78.2,103.3,6.1,24.7,17.75,63.1,3.0
7.5,189.8,48.9,38.4,6.87,144.8,4.0
50.1,88.0,29.8,53.8,23.82,165.8,1.0
76.7,60.2,25.6,59.4,15.12,45.4,4.0
81.3,113.6,19.9,99.9,22.34,36.5,3.0
33.0,167.2,8.1,90.8,13.87,153.4,2.0
60.8,117.3,16.3,49.0,9.57,97.9,3.0
38.0,171.0,32.5,33.7,6.11,157.9,3.0
122.3,167.0,49.1,84.3,13.53,192.8,1.0
43.9,104.7,48.0,86.2,11.00,106.9,4.0
56.9,16.2,38.6,17.6,21.03,18.7,1.0
126.9,132.6,39.6,23.2,20.13,178.9,4.0
31.3,55.4,39.0,80.6,6.43,36.4,4.0
67.6,25.1,5.2,31.9,4.61,176.9,3.0
6.6,171.7,48.6,95.3,4.60,140.4,3.0
97.5,177.8,7.4,28.0,2.00,49.5,2.0
94.2,46.2,37.6,56.6,6.34,138.1,3.0
75.8,166.0,29.7,64.1,23.89,151.5,2.0
42.8,154.8,38.6,42.6,14.05,93.8,3.0
90.1,168.5,10.6,25.1,4.16,81.8,4.0
22.9,53.1,2.3,93.9,6.74,73.8,4.0
