longitude,latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Speed_limit,Light_Conditions,Date,time of police
78.61960304,14.7120892,1,3,2,1,7,7:34,30,1,29-01-2018,
78.51960607,14.74996632,1,3,1,1,4,16:35,30,4,19-01-2018,
78.54789008,14.75608546,1,3,2,1,1,20:00,30,4,30-01-2018,
78.48281105,14.76917912,1,3,2,2,7,13:15,30,1,29-01-2018,
78.48775217,14.76713783,1,3,2,1,3,18:20,30,4,1/2/2018,
78.62494181,14.66271495,1,3,2,1,4,7:25,30,4,2/2/2018,
78.63752981,14.71344373,1,2,2,2,3,17:30,30,4,1/2/2018,
78.50776956,14.75667091,1,3,2,1,5,12:30,30,1,3/2/2018,
78.59392551,14.77905066,1,3,2,1,7,9:55,30,1,12/2/2018,
78.53039236,14.71063037,1,3,2,2,5,13:00,30,1,3/2/2018,
78.47719655,14.69047677,1,3,4,1,3,13:02,30,1,1/2/2018,
78.48284431,14.75576239,1,3,2,2,5,22:55,30,4,3/2/2018,
78.48314791,14.65934691,1,3,2,1,5,17:30,30,4,3/2/2018,
78.57127371,14.72357252,1,3,2,1,1,15:00,30,1,6/2/2018,
78.60569287,14.77430844,1,3,2,1,7,21:25,30,4,5/2/2018,
78.59067344,14.74691279,1,3,2,1,5,12:41,30,1,3/2/2018,
78.54745023,14.72881119,1,3,1,1,6,23:35,30,4,4/2/2018,
78.50725209,14.74086665,1,3,2,1,2,9:15,30,1,7/2/2018,
78.53432983,14.71956458,1,3,1,1,7,13:25,30,1,12/2/2018,
78.55225769,14.75605991,1,3,2,1,3,20:00,30,4,8/2/2018,
78.47752203,14.65886224,1,3,2,1,4,8:20,30,1,16-02-2018,
78.5168018,14.72059903,1,3,2,1,2,11:30,30,1,7/2/2018,
78.54244314,14.8042425,1,3,2,1,5,18:10,30,4,10/2/2018,
78.48020864,14.70004009,1,3,1,1,7,11:33,30,1,12/2/2018,
78.63411999,14.65696462,1,3,2,2,1,20:05,30,4,13-02-2018,
78.51191085,14.66926643,1,3,2,1,3,16:44,30,4,1/2/2018,
78.51845236,14.7951293,1,3,2,1,5,18:00,30,4,17-02-2018,
78.63335076,14.71925762,1,3,1,1,6,10:15,30,1,4/2/2018,
78.63917889,14.79691544,1,2,1,1,3,18:15,30,4,15-02-2018,
78.55732153,14.75235597,1,3,2,1,4,10:35,30,1,16-02-2018,
78.5178633,14.72475233,1,3,1,1,6,17:36,30,4,18-02-2018,
78.56840811,14.71223295,1,3,1,1,3,16:05,30,1,15-02-2018,
78.48648092,14.7668848,1,3,1,1,5,13:56,30,1,10/2/2018,
78.5896443,14.74396476,1,3,2,1,4,14:10,30,1,16-02-2018,
78.56578701,14.74663423,1,3,2,1,2,10:10,30,1,21-02-2018,
78.59949243,14.79266069,1,3,1,1,1,14:50,30,1,20-02-2018,
78.5428864,14.74747202,1,3,3,1,3,14:43,30,1,22-02-2018,
78.51649786,14.71827284,1,3,2,2,2,17:20,30,4,21-02-2018,
78.58783427,14.79753447,1,3,2,1,1,12:40,30,1,20-02-2018,
78.50462661,14.74186473,1,3,1,2,1,13:55,30,1,20-02-2018,
78.50372105,14.67450274,1,3,2,2,7,22:25,30,4,26-02-2018,
78.53697377,14.72235024,1,3,4,1,2,18:14,30,4,28-02-2018,
78.60142027,14.6920907,1,3,2,1,5,16:30,30,1,24-02-2018,
78.51914542,14.65809725,1,3,1,1,3,19:00,30,4,1/3/2018,
78.51682898,14.7622116,1,3,1,1,4,17:13,30,4,23-02-2018,
78.5874902,14.65829601,1,3,2,1,7,17:00,30,4,26-02-2018,
78.63977968,14.75147928,1,3,2,1,5,9:15,30,1,24-02-2018,
78.49362006,14.70929212,1,3,1,1,6,0:11,30,4,25-02-2018,
78.50978723,14.70005993,1,3,3,1,4,19:00,30,4,23-02-2018,
78.59567646,14.78371437,1,3,1,1,7,1:48,30,4,26-02-2018,
78.54136949,14.79076767,1,3,1,1,4,7:58,30,1,23-02-2018,
78.57581983,14.76767886,1,3,1,1,6,14:55,30,1,25-02-2018,
78.50021904,14.69646545,1,3,2,1,6,8:22,30,1,25-02-2018,
78.60265286,14.67691971,1,3,1,1,6,4:38,30,4,25-02-2018,
78.50214131,14.75677954,1,3,1,1,6,13:20,30,1,4/3/2018,
78.4917798,14.66685741,1,3,2,1,3,0:30,30,4,1/3/2018,
78.601506,14.79209554,1,3,2,1,2,19:30,30,4,28-02-2018,
78.53344659,14.79572839,1,3,2,1,3,12:03,30,1,1/3/2018,
78.48455418,14.70195026,1,3,2,1,2,23:03,30,4,14-02-2018,
78.61444643,14.65835189,1,3,2,1,4,22:19,30,4,2/2/2018,
78.63919316,14.78135494,1,3,2,1,5,14:30,30,1,3/3/2018,
78.58129086,14.78138849,1,2,2,1,3,19:15,30,4,1/3/2018,
78.61902632,14.66241545,1,3,2,1,3,18:31,30,4,1/3/2018,
78.59075788,14.67088489,1,3,2,4,7,2:58,30,4,5/3/2018,
78.56631994,14.76510556,1,3,1,1,3,10:40,30,1,1/3/2018,
78.52627463,14.74048644,1,3,1,1,3,23:40,30,4,8/3/2018,
78.63780456,14.78069749,1,3,1,1,5,21:07,30,4,3/3/2018,
78.60107905,14.67955824,1,2,2,1,7,18:40,30,4,5/3/2018,
78.59274347,14.76252813,1,3,1,1,7,16:55,30,4,5/3/2018,
78.56313479,14.67937043,1,3,1,1,3,13:36,30,1,8/3/2018,
78.60856414,14.74191231,1,3,2,1,1,1:05,30,4,6/3/2018,
78.59335206,14.70903447,1,3,2,1,3,12:20,30,1,8/3/2018,
78.4715623,14.65677436,1,3,2,1,3,8:56,30,1,8/3/2018,
78.47488499,14.66076976,1,3,3,1,4,16:55,30,1,9/3/2018,
78.63945235,14.71711614,1,3,3,2,4,15:35,30,1,9/3/2018,
78.63908275,14.78005852,1,3,1,1,2,17:35,30,1,14-03-2018,
78.57058917,14.67090569,1,3,1,1,5,9:15,30,1,17-03-2018,
78.46344518,14.74883981,1,3,2,1,1,0:15,30,4,13-03-2018,
78.47847421,14.73100256,1,3,2,1,3,13:02,30,1,15-03-2018,
78.53747456,14.71947132,1,3,2,1,2,20:00,30,4,14-03-2018,
78.62941011,14.78927976,1,3,2,1,3,15:31,30,1,15-03-2018,
78.62081325,14.75982788,1,2,2,1,3,9:40,30,1,15-03-2018,
78.5261796,14.77397946,1,2,2,1,4,9:13,30,1,9/3/2018,
78.56387498,14.72388961,1,3,1,2,6,14:41,30,1,18-03-2018,
78.62644835,14.68705541,1,3,2,1,4,8:17,30,1,9/3/2018,
78.63897516,14.72694687,1,3,3,2,5,11:07,30,1,17-03-2018,
78.52491295,14.79386514,1,3,2,1,5,20:55,30,4,17-03-2018,
78.63284938,14.73825519,1,3,1,1,5,23:30,30,4,17-03-2018,
78.46561537,14.66612627,1,3,1,1,1,20:45,30,4,13-03-2018,
78.57424101,14.68721774,1,2,2,1,4,20:20,30,4,16-03-2018,
78.51496972,14.73016531,1,3,1,1,5,13:53,30,1,24-03-2018,
78.59715089,14.69456664,1,3,1,2,1,14:31,30,1,20-03-2018,
78.59656167,14.74556922,1,3,1,1,2,9:22,30,1,21-03-2018,
78.62947418,14.66045209,1,3,1,1,6,18:03,30,4,18-03-2018,
78.46851877,14.71027655,1,3,1,1,1,13:45,30,1,20-03-2018,
78.57672392,14.77471619,1,3,2,1,4,15:45,30,1,23-03-2018,
78.63055429,14.80468822,1,3,2,1,5,8:17,30,1,24-02-2018,
78.57629322,14.70767864,1,3,2,1,4,23:17,30,4,23-03-2018,
78.50329991,14.79490273,1,3,2,1,5,19:20,30,4,24-03-2018,
78.51266275,14.69858571,1,3,2,1,5,12:01,30,1,24-03-2018,
78.47503602,14.70878444,1,3,2,1,5,23:39,30,4,31-03-2018,
78.60791282,14.75358474,1,3,2,1,2,11:40,30,1,21-03-2018,
78.52983052,14.76179671,1,3,3,1,6,12:30,30,1,18-03-2018,
78.59331286,14.76420208,1,3,1,1,5,12:40,30,1,24-02-2018,
78.5308538,14.68323088,1,3,1,1,5,9:20,30,1,24-03-2018,
78.48250575,14.66622816,1,3,3,1,4,8:23,30,1,23-03-2018,
78.54648246,14.70243018,1,3,2,1,4,18:36,30,4,23-03-2018,
78.58910297,14.6790203,1,3,2,1,5,17:10,30,1,31-03-2018,
78.59333209,14.78989934,1,3,1,1,2,15:30,30,1,14-03-2018,
78.53104421,14.71726722,1,3,1,1,7,3:00,30,4,12/3/2018,
78.60886599,14.73851985,1,3,2,1,7,9:45,30,1,9/4/2018,
78.4734492,14.65945932,1,3,1,1,5,14:30,30,1,7/4/2018,
78.63796093,14.69902435,1,3,2,1,7,11:09,30,1,2/4/2018,
78.58360051,14.68998045,1,2,2,1,5,17:00,30,1,17-03-2018,
78.58049308,14.78806724,1,3,2,1,5,15:12,30,1,31-03-2018,
78.53138575,14.72621264,1,3,1,1,5,13:15,30,1,7/4/2018,
78.51771818,14.76506434,1,3,2,1,5,21:25,30,4,31-03-2018,
78.53267456,14.79669925,1,3,1,1,4,0:32,30,4,6/4/2018,
78.63541032,14.67611552,1,3,2,1,3,8:25,30,1,5/4/2018,
78.52016722,14.72006418,1,3,1,1,6,9:04,30,1,8/4/2018,
78.53274753,14.69178919,1,3,1,1,7,16:42,30,1,2/4/2018,
78.51171699,14.80505263,1,3,3,1,4,8:40,30,1,6/4/2018,
78.52828898,14.6707471,1,2,2,1,6,23:40,30,4,1/4/2018,
78.53216836,14.6647056,1,3,1,1,4,18:15,30,1,6/4/2018,
78.49745637,14.79130625,1,2,2,1,2,6:18,30,1,4/4/2018,
78.56291399,14.66644638,1,3,2,1,6,10:40,30,1,8/4/2018,
78.57011463,14.73892886,1,3,2,1,6,8:28,30,1,8/4/2018,
78.51418176,14.77872964,1,3,2,1,6,12:58,30,1,8/4/2018,
78.52341118,14.7140019,1,3,2,1,1,19:25,30,4,10/4/2018,
78.48058843,14.80338568,1,3,2,1,1,8:43,30,1,13-03-2018,
78.5968315,14.71049446,1,3,1,1,3,13:28,30,1,19-04-2018,
78.5092686,14.7857426,1,3,1,1,1,18:15,30,1,3/4/2018,
78.62373567,14.80490284,1,3,2,1,3,15:50,30,1,12/4/2018,
78.56280849,14.74109205,1,3,1,1,4,9:50,30,1,13-04-2018,
78.61312089,14.79458328,1,3,2,1,5,20:05,30,4,14-04-2018,
78.55251349,14.70852042,1,3,2,1,4,22:50,30,4,13-04-2018,
78.61190049,14.74892807,1,3,2,1,7,10:10,30,1,16-04-2018,
78.59225886,14.69449824,1,3,2,2,7,18:45,30,1,16-04-2018,
78.50220319,14.71741426,1,3,2,1,6,17:30,30,1,8/4/2018,
78.53399951,14.78930585,1,3,2,1,5,9:30,30,1,14-04-2018,
78.55490051,14.71110477,1,3,2,1,5,12:55,30,1,14-04-2018,
78.51257609,14.69811304,1,3,2,1,2,12:24,30,1,18-04-2018,
78.61005704,14.70932652,1,3,2,1,4,17:00,30,1,20-04-2018,
78.54850974,14.79034087,1,3,2,1,3,19:25,30,1,19-04-2018,
78.63803175,14.68938755,1,3,2,1,1,19:06,30,1,10/4/2018,
78.52925268,14.75885863,1,3,2,1,4,7:50,30,1,20-04-2018,
78.63898644,14.68728438,1,2,1,1,7,20:42,30,4,16-04-2018,
78.50523158,14.76601943,1,3,3,1,1,13:30,30,1,17-04-2018,
78.54525948,14.80095176,1,3,2,1,7,21:00,30,4,16-04-2018,
78.5584442,14.70478832,1,3,1,1,7,17:35,30,1,16-04-2018,
78.62508454,14.66933649,1,2,2,1,7,17:30,30,1,16-04-2018,
78.63903383,14.70006203,1,3,2,1,4,14:40,40,1,20-04-2018,
78.46785122,14.65660403,1,3,3,1,1,0:21,30,4,17-04-2018,
78.52094189,14.76581159,1,3,2,1,7,0:55,30,4,23-04-2018,
78.49043054,14.65876791,1,3,2,1,6,20:30,30,1,22-04-2018,
78.54514131,14.79778304,1,3,2,1,4,8:44,30,1,20-04-2018,
78.58729119,14.69783034,1,3,2,1,2,8:45,30,1,25-04-2018,
78.52268708,14.79755994,1,3,2,1,1,17:45,30,1,24-04-2018,
78.49527903,14.70743115,1,3,2,1,2,19:10,30,1,25-04-2018,
78.55500885,14.72667968,1,3,1,1,7,21:20,30,4,23-04-2018,
78.54323638,14.78592584,1,3,2,1,7,13:45,30,1,23-04-2018,
78.56939416,14.70715153,1,3,2,1,7,17:45,30,1,16-04-2018,
78.56145892,14.66703382,1,3,1,1,5,12:45,30,1,28-04-2018,
78.58477415,14.7347871,1,3,2,1,2,17:24,30,1,2/5/2018,
78.51221227,14.80488103,1,3,1,1,2,18:40,30,1,2/5/2018,
78.51971959,14.68383777,1,3,2,1,6,8:39,30,1,29-04-2018,
78.59785657,14.79015961,1,3,2,1,2,14:00,30,1,25-04-2018,
78.47933433,14.71668444,1,3,2,1,4,5:23,30,4,4/5/2018,
78.56026501,14.7992987,1,3,1,1,6,13:48,30,1,29-04-2018,
78.52194701,14.67553021,1,3,2,1,4,16:10,30,1,4/5/2018,
78.46803998,14.68550389,1,3,2,1,5,18:45,30,1,5/5/2018,
78.56210707,14.69976021,1,3,2,1,5,13:00,30,1,5/5/2018,
78.63858789,14.80432387,1,3,2,1,4,18:05,30,1,4/5/2018,
78.59083118,14.67949361,1,2,1,1,5,21:14,30,4,5/5/2018,
78.61180959,14.76776344,1,3,2,1,6,16:20,30,1,6/5/2018,
78.47324674,14.66436759,1,3,1,1,3,16:30,30,1,26-04-2018,
78.51099805,14.66207149,1,3,3,1,6,12:11,30,1,6/5/2018,
78.49568104,14.75084927,1,2,2,1,3,17:18,30,1,26-04-2018,
78.56307436,14.70427349,1,3,2,1,7,13:00,30,1,7/5/2018,
78.50749072,14.73600151,1,3,2,1,5,23:00,30,4,5/5/2018,
78.51133428,14.68102881,1,3,2,1,1,13:28,30,1,1/5/2018,
78.53175096,14.7618112,1,3,2,1,5,17:44,30,1,12/5/2018,
78.4699991,14.66823316,1,3,1,1,7,16:41,30,1,7/5/2018,
78.58997564,14.74481977,1,3,2,1,5,16:38,30,1,12/5/2018,
78.52515075,14.75371748,1,2,3,1,1,19:15,30,1,8/5/2018,
78.49933886,14.70154968,1,3,3,1,7,18:40,30,1,7/5/2018,
78.46902561,14.72458462,1,3,1,1,7,18:55,30,1,7/5/2018,
78.55824492,14.66468949,1,3,2,1,5,23:46,30,4,12/5/2018,
78.55418383,14.77118443,1,3,2,1,6,11:30,40,1,13-05-2018,
78.57290637,14.68586346,1,2,1,1,1,20:23,30,4,8/5/2018,
78.53876108,14.74219912,1,3,2,1,2,18:26,30,1,9/5/2018,
78.61986326,14.73015342,1,3,2,2,1,14:15,30,1,15-05-2018,
78.50956466,14.74851539,1,3,2,1,5,12:56,30,1,12/5/2018,
78.49658361,14.77771509,1,3,2,1,2,11:00,30,1,16-05-2018,
78.48772909,14.68063512,1,3,1,1,1,3:40,30,4,1/5/2018,
78.63242285,14.67347275,1,3,1,1,7,20:10,30,4,30-04-2018,
78.59659169,14.67742815,1,3,2,1,5,15:57,30,1,19-05-2018,
78.48340251,14.77234364,1,3,2,1,4,19:20,30,1,18-05-2018,
78.62145242,14.70635319,1,3,1,1,1,1:41,30,4,15-05-2018,
78.56335729,14.74545069,1,3,2,1,6,8:45,30,1,6/5/2018,
78.51051755,14.73706108,1,3,2,1,7,21:00,30,4,21-05-2018,
78.51911099,14.79872311,1,3,2,1,4,15:15,30,1,25-05-2018,
78.61731038,14.66548537,1,3,2,1,2,20:25,30,1,23-05-2018,
78.52154554,14.68690148,1,3,2,1,5,12:51,30,1,19-05-2018,
78.57084194,14.72122498,1,3,2,1,4,8:30,30,1,20-04-2018,
78.60753191,14.74998795,1,3,1,1,5,16:55,30,1,19-05-2018,
78.54316762,14.73574955,1,2,2,1,7,22:39,30,4,21-05-2018,
78.5258935,14.80328134,1,3,1,1,4,20:17,30,1,25-05-2018,
78.52988136,14.78118066,1,3,2,1,5,0:55,30,4,14-04-2018,
78.59297125,14.75655046,1,3,2,1,3,13:16,30,1,24-05-2018,
78.5090037,14.78931699,1,3,2,1,7,12:25,30,1,21-05-2018,
78.57213853,14.76171002,1,3,2,1,5,12:53,30,1,26-05-2018,
78.49023676,14.77480917,1,3,2,1,5,20:05,30,1,26-05-2018,
78.50628714,14.71704441,1,2,1,1,5,19:28,30,1,26-05-2018,
78.55311898,14.68678665,1,3,2,1,7,17:05,30,1,14-05-2018,
78.49984809,14.76036765,1,3,1,1,3,16:05,30,1,24-05-2018,
78.54306354,14.79621424,1,3,2,1,6,12:07,30,1,6/5/2018,
78.50713341,14.75506939,1,3,1,1,2,9:40,30,1,23-05-2018,
78.53700723,14.73111455,1,3,2,1,5,15:40,30,1,26-05-2018,
78.49172454,14.73206479,1,3,2,1,3,8:53,30,1,3/5/2018,
78.61683574,14.71447647,1,3,1,1,3,12:25,30,1,24-05-2018,
78.57384031,14.67299047,1,3,2,1,3,19:18,30,1,31-05-2018,
78.53690866,14.66367782,1,3,1,1,1,17:20,30,1,29-05-2018,
78.49967402,14.68530086,1,3,2,1,6,7:00,30,1,27-05-2018,
78.49973569,14.72369516,1,3,2,1,5,16:51,30,1,26-05-2018,
78.48617375,14.80351026,1,3,2,1,4,16:45,30,1,1/6/2018,
78.5693854,14.71688689,1,3,2,1,5,16:57,30,1,2/6/2018,
78.5114404,14.66381637,1,3,2,2,7,13:19,30,1,28-05-2018,
78.63823895,14.70077042,1,3,1,1,4,12:30,30,1,25-05-2018,
78.62302656,14.77154227,1,3,2,1,3,11:00,30,1,7/6/2018,
78.57208692,14.68758605,1,3,2,2,5,8:50,30,1,2/6/2018,
78.51878533,14.79802942,1,3,2,1,6,7:50,30,1,3/6/2018,
78.50909015,14.78240267,1,3,2,1,4,8:36,30,1,25-05-2018,
78.54811166,14.75619763,1,3,2,1,5,9:02,30,1,26-05-2018,
78.58016673,14.70005358,1,3,2,1,2,12:30,30,1,6/6/2018,
78.57654882,14.68743235,1,3,2,1,2,18:00,30,1,30-05-2018,
78.62258541,14.71756967,1,2,2,1,5,15:47,30,1,9/6/2018,
78.54134847,14.76949621,1,3,2,1,3,21:50,30,4,7/6/2018,
78.50675512,14.79231236,1,3,1,1,4,12:30,30,1,8/6/2018,
78.47561149,14.67744995,1,3,3,1,5,10:45,30,1,9/6/2018,
78.46669406,14.66280003,1,3,2,1,4,23:19,30,4,8/6/2018,
78.50632146,14.71686804,1,3,2,2,4,18:22,30,1,8/6/2018,
78.49209238,14.68786293,1,2,2,1,4,11:30,30,1,25-05-2018,
78.6282314,14.78187849,1,3,1,1,6,18:00,30,1,10/6/2018,
78.62495166,14.7360332,1,3,2,1,4,18:50,30,1,15-06-2018,
78.63325003,14.66206471,1,3,2,1,7,20:50,30,1,4/6/2018,
78.49548664,14.78413513,1,2,1,1,5,23:26,30,4,2/6/2018,
78.51916272,14.80101683,1,2,2,1,6,18:36,30,1,3/6/2018,
78.61271387,14.78976302,1,2,2,1,5,8:45,30,1,9/6/2018,
78.59020358,14.72741553,1,2,2,1,2,18:40,30,1,6/6/2018,
78.55210481,14.69242758,1,3,1,1,5,22:10,30,4,19-05-2018,
78.48009176,14.78662026,1,3,2,1,4,8:00,30,1,15-06-2018,
78.51214606,14.69029968,1,3,2,1,6,12:00,30,1,10/6/2018,
78.57737336,14.77971545,1,3,2,1,2,4:22,30,4,6/6/2018,
78.47616014,14.73265712,1,3,2,1,6,13:45,30,1,10/6/2018,
78.49170806,14.67588605,1,3,2,1,4,22:35,30,4,11/5/2018,
78.47974987,14.73120154,1,3,1,1,7,10:47,30,1,11/6/2018,
78.55747894,14.76903097,1,3,2,1,2,21:15,30,4,13-06-2018,
78.60541356,14.69379498,1,3,1,1,4,16:00,30,1,15-06-2018,
78.50441471,14.72828575,1,3,2,1,6,18:33,30,1,3/6/2018,
78.63643436,14.7068718,1,3,2,1,3,19:40,30,1,14-06-2018,
78.53629181,14.71105868,1,3,2,1,5,15:45,30,1,16-06-2018,
78.57744448,14.66574332,1,3,2,2,4,19:48,30,1,15-06-2018,
78.51809195,14.68098776,1,3,1,1,4,10:10,30,1,15-06-2018,
78.63146863,14.7590843,1,3,2,1,4,16:20,30,1,15-06-2018,
78.52981934,14.76660078,1,3,3,1,2,9:10,30,1,20-06-2018,
78.48806092,14.79040413,1,3,2,1,4,10:30,30,1,15-06-2018,
78.47544959,14.7335497,1,3,3,1,2,12:13,30,1,20-06-2018,
78.51424446,14.76544574,1,2,2,1,7,15:52,30,1,11/6/2018,
78.63263448,14.68221368,1,3,2,1,2,18:00,30,1,20-06-2018,
78.58434051,14.78476528,1,3,3,1,2,16:50,30,1,20-06-2018,
78.56507233,14.72774735,1,2,2,1,5,23:46,30,4,16-06-2018,
78.60023333,14.69295855,1,3,2,1,5,16:20,50,1,16-06-2018,
78.50713514,14.66838776,1,3,3,2,5,8:58,30,1,16-06-2018,
78.52376459,14.78478488,1,3,1,1,3,14:30,30,1,21-06-2018,
78.63783856,14.75145227,1,3,1,1,3,15:37,30,1,21-06-2018,
78.59327332,14.70024915,1,3,2,1,5,13:20,30,1,16-06-2018,
78.60970802,14.69571563,1,3,2,1,2,10:34,30,1,20-06-2018,
78.51079953,14.75427531,1,3,1,1,2,10:42,30,1,20-06-2018,
78.48965821,14.72656662,1,3,1,1,2,11:05,30,1,20-06-2018,
78.46936852,14.66938889,1,3,2,1,6,1:43,30,4,1/7/2018,
78.55689639,14.78242374,1,3,2,1,6,9:55,30,1,24-06-2018,
78.60087333,14.78340726,1,3,2,1,5,10:00,30,1,30-06-2018,
78.55490165,14.72840825,1,3,2,1,6,13:43,30,1,24-06-2018,
78.55771901,14.80221565,1,3,1,1,3,7:12,30,1,21-06-2018,
78.54161986,14.69705483,1,3,2,3,5,12:50,30,1,23-06-2018,
78.63439045,14.65839125,1,3,1,1,5,23:53,30,4,23-06-2018,
78.4743251,14.77099798,1,3,2,1,3,19:30,30,1,28-06-2018,
78.6301266,14.72254784,1,3,2,2,4,15:35,30,1,29-06-2018,
78.47012294,14.70951832,1,3,1,1,4,7:05,30,1,29-06-2018,
78.62984631,14.77544846,1,2,2,2,4,11:30,30,1,1/6/2018,
78.5962481,14.66968795,1,3,2,1,5,11:50,30,1,23-06-2018,
78.61894948,14.66778696,1,3,2,1,2,13:20,30,1,20-06-2018,
78.5029841,14.7739841,1,3,2,1,2,7:40,30,1,4/7/2018,
78.47169251,14.79088419,1,3,2,1,5,18:54,30,1,30-06-2018,
78.47963182,14.66667239,1,3,2,1,1,19:05,30,1,3/7/2018,
78.6090894,14.69521069,1,3,2,1,1,17:30,30,1,3/7/2018,
78.64246377,14.78980067,1,3,2,1,5,7:55,30,1,30-06-2018,
78.63300268,14.68292814,1,3,2,1,2,10:50,30,1,20-06-2018,
78.46977434,14.71538941,1,2,1,2,5,23:30,30,4,30-06-2018,
78.51827972,14.71925189,1,3,2,1,2,19:49,30,1,6/6/2018,
78.49127783,14.7749603,1,3,2,1,4,23:36,30,4,29-06-2018,
78.55483725,14.75836431,1,3,2,1,3,18:30,30,1,5/7/2018,
78.50241736,14.7203547,1,3,2,1,5,15:45,30,1,30-06-2018,
78.62768177,14.76606565,1,3,1,1,5,2:00,30,4,7/7/2018,
78.62746924,14.66079676,1,3,1,1,5,17:50,30,1,30-06-2018,
78.51025771,14.71864554,1,3,2,1,6,18:04,20,1,1/7/2018,
78.64165765,14.79135592,1,3,2,2,5,19:48,30,1,14-07-2018,
78.49218747,14.75235812,1,2,2,1,6,13:01,30,1,8/7/2018,
78.5570065,14.7282784,1,3,2,1,7,7:00,30,1,9/7/2018,
78.52693467,14.75035534,1,3,2,1,2,23:15,30,4,11/7/2018,
78.60002982,14.72224332,1,3,2,1,7,18:05,30,1,9/7/2018,
78.48493829,14.7683047,1,2,1,1,1,15:50,30,1,10/7/2018,
78.54929233,14.78308418,1,3,3,1,4,17:30,30,1,13-07-2018,
78.48354668,14.76704076,1,3,2,1,3,13:10,30,1,12/7/2018,
78.56883318,14.79190576,1,3,2,1,7,23:20,30,4,16-07-2018,
78.56607108,14.666249,1,3,2,1,7,15:18,30,1,16-07-2018,
78.6211453,14.80428889,1,3,3,1,5,14:20,30,1,30-06-2018,
78.61721504,14.68315458,1,3,2,1,5,14:00,30,1,30-06-2018,
78.5055848,14.72490501,1,2,2,1,6,9:43,30,1,8/7/2018,
78.61641686,14.66245571,1,3,2,1,7,16:04,30,1,16-07-2018,
78.5823083,14.79660932,1,3,2,1,5,16:25,30,1,30-06-2018,
78.46855776,14.71828871,1,3,2,1,3,9:09,30,1,5/7/2018,
78.61866175,14.69414695,1,3,1,2,7,16:50,30,1,25-06-2018,
78.54535858,14.6947375,1,2,2,1,6,18:50,30,1,17-06-2018,
78.54427878,14.66438323,1,3,1,2,5,21:00,30,4,30-06-2018,
78.55636369,14.67643296,1,3,2,1,6,7:44,30,1,8/7/2018,
78.48400842,14.67635323,1,3,1,1,4,17:45,30,1,6/7/2018,
78.53793668,14.7856484,1,3,2,1,6,19:45,30,1,8/7/2018,
78.6360229,14.71844504,1,3,2,1,5,0:40,30,4,14-07-2018,
78.47026242,14.68066512,1,3,2,1,6,10:15,30,1,15-07-2018,
78.59842131,14.79765213,1,3,2,1,4,8:33,30,1,13-07-2018,
78.64251428,14.76959149,1,2,2,1,5,17:45,30,1,21-07-2018,
78.47596283,14.74644541,1,3,2,1,2,18:40,50,1,11/7/2018,
78.54495123,14.75888938,1,3,2,1,5,14:05,30,1,16-06-2018,
78.61574494,14.80011732,1,3,3,1,4,17:12,30,1,13-07-2018,
78.62832245,14.74078714,1,3,2,1,4,7:45,30,1,13-07-2018,
78.46941866,14.66151845,1,3,2,1,7,18:48,30,1,9/7/2018,
78.56585433,14.72923928,1,2,2,1,5,16:13,30,1,21-07-2018,
78.63201283,14.73800956,1,3,2,1,3,18:20,30,1,19-07-2018,
